Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
 lokale lasten,Alleenstaand,gemiddelde huur,2250,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,2250,2019,73
 verzekeringen,Alleenstaand,gemiddelde huur,2250,2019,191
 onderwijs,Alleenstaand,gemiddelde huur,2250,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,2250,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,2250,2019,62
 vervoer,Alleenstaand,gemiddelde huur,2250,2019,253
VASTE LASTEN,Alleenstaand,gemiddelde huur,2250,2019,1.335
 kleding en schoenen,Alleenstaand,gemiddelde huur,2250,2019,90
 inventaris,Alleenstaand,gemiddelde huur,2250,2019,88
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,2250,2019,28
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,2250,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,2250,2019,300
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,2250,2019,544
 voeding,Alleenstaand,gemiddelde huur,2250,2019,218
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,2250,2019,139
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,2250,2019,357
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,2250,2019,15
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,2500,2019,2.500
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,2500,2019,2.368
 huur/hypotheek,Alleenstaand,gemiddelde huur,2500,2019,623
 gas,Alleenstaand,gemiddelde huur,2500,2019,87
 elektriciteit,Alleenstaand,gemiddelde huur,2500,2019,36
 water,Alleenstaand,gemiddelde huur,2500,2019,10
 lokale lasten,Alleenstaand,gemiddelde huur,2500,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,2500,2019,74
 verzekeringen,Alleenstaand,gemiddelde huur,2500,2019,194
 onderwijs,Alleenstaand,gemiddelde huur,2500,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,2500,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,2500,2019,67
 vervoer,Alleenstaand,gemiddelde huur,2500,2019,278
VASTE LASTEN,Alleenstaand,gemiddelde huur,2500,2019,1.412
 kleding en schoenen,Alleenstaand,gemiddelde huur,2500,2019,96
 inventaris,Alleenstaand,gemiddelde huur,2500,2019,93
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,2500,2019,29
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,2500,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,2500,2019,330
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,2500,2019,587
 voeding,Alleenstaand,gemiddelde huur,2500,2019,225
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,2500,2019,144
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,2500,2019,369
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,2500,2019,132
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,3000,2019,3.000
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,3000,2019,2.637
 huur/hypotheek,Alleenstaand,gemiddelde huur,3000,2019,716
 gas,Alleenstaand,gemiddelde huur,3000,2019,87
 elektriciteit,Alleenstaand,gemiddelde huur,3000,2019,36
 water,Alleenstaand,gemiddelde huur,3000,2019,10
 lokale lasten,Alleenstaand,gemiddelde huur,3000,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,3000,2019,76
 verzekeringen,Alleenstaand,gemiddelde huur,3000,2019,200
 onderwijs,Alleenstaand,gemiddelde huur,3000,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,3000,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,3000,2019,76
 vervoer,Alleenstaand,gemiddelde huur,3000,2019,328
VASTE LASTEN,Alleenstaand,gemiddelde huur,3000,2019,1.572
 kleding en schoenen,Alleenstaand,gemiddelde huur,3000,2019,109
 inventaris,Alleenstaand,gemiddelde huur,3000,2019,103
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,3000,2019,32
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,3000,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,3000,2019,390
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,3000,2019,672
 voeding,Alleenstaand,gemiddelde huur,3000,2019,238
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,3000,2019,155
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,3000,2019,393
OVERSCHOT/TEKORT,Alleenstaand,gemiddelde huur,3000,2019,363
TOTAAL INKOMEN,Alleenstaand,gemiddelde huur,3500,2019,3.500
TOTAAL UITGAVEN,Alleenstaand,gemiddelde huur,3500,2019,2.860
 huur/hypotheek,Alleenstaand,gemiddelde huur,3500,2019,762
 gas,Alleenstaand,gemiddelde huur,3500,2019,87
 elektriciteit,Alleenstaand,gemiddelde huur,3500,2019,36
 water,Alleenstaand,gemiddelde huur,3500,2019,10
 lokale lasten,Alleenstaand,gemiddelde huur,3500,2019,44
 telefoon televisie internet,Alleenstaand,gemiddelde huur,3500,2019,77
 verzekeringen,Alleenstaand,gemiddelde huur,3500,2019,206
 onderwijs,Alleenstaand,gemiddelde huur,3500,2019,0
 kinderopvang,Alleenstaand,gemiddelde huur,3500,2019,0
 contributies en abonnementen,Alleenstaand,gemiddelde huur,3500,2019,86
 vervoer,Alleenstaand,gemiddelde huur,3500,2019,377
VASTE LASTEN,Alleenstaand,gemiddelde huur,3500,2019,1.684
 kleding en schoenen,Alleenstaand,gemiddelde huur,3500,2019,121
 inventaris,Alleenstaand,gemiddelde huur,3500,2019,113
 onderhoud huis en tuin,Alleenstaand,gemiddelde huur,3500,2019,35
 niet-vergoede ziektekosten,Alleenstaand,gemiddelde huur,3500,2019,38
 vrijetijdsuitgaven,Alleenstaand,gemiddelde huur,3500,2019,450
RESERVERINGSUITGAVEN,Alleenstaand,gemiddelde huur,3500,2019,758
 voeding,Alleenstaand,gemiddelde huur,3500,2019,252
 overige huishoudelijke uitgaven,Alleenstaand,gemiddelde huur,3500,2019,166
HUISHOUDELIJKE UITGAVEN,Alleenstaand,gemiddelde huur,3500,2019,418
