Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
 telefoon televisie internet,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,86
 verzekeringen,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,388
 onderwijs,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,0
 kinderopvang,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,0
 contributies en abonnementen,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,124
 vervoer,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,378
VASTE LASTEN,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,1.819
 kleding en schoenen,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,125
 inventaris,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,164
 onderhoud huis en tuin,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,152
 niet-vergoede ziektekosten,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,77
 vrijetijdsuitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,445
RESERVERINGSUITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,963
 voeding,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,399
 overige huishoudelijke uitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,230
HUISHOUDELIJKE UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,629
OVERSCHOT/TEKORT,Ouder paar,1.5 keer gemiddelde hypotheek,3500,2019,90
TOTAAL INKOMEN,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,4.000
TOTAAL UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,3.775
 huur/hypotheek,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,788
 gas,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,87
 elektriciteit,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,57
 water,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,15
 lokale lasten,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,59
 telefoon televisie internet,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,88
 verzekeringen,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,395
 onderwijs,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,0
 kinderopvang,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,0
 contributies en abonnementen,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,133
 vervoer,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,427
VASTE LASTEN,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,2.047
 kleding en schoenen,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,138
 inventaris,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,174
 onderhoud huis en tuin,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,181
 niet-vergoede ziektekosten,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,77
 vrijetijdsuitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,505
RESERVERINGSUITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,1.075
 voeding,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,412
 overige huishoudelijke uitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,241
HUISHOUDELIJKE UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,653
OVERSCHOT/TEKORT,Ouder paar,1.5 keer gemiddelde hypotheek,4000,2019,225
TOTAAL INKOMEN,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,4.500
TOTAAL UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,4.125
 huur/hypotheek,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,936
 gas,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,87
 elektriciteit,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,57
 water,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,15
 lokale lasten,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,59
 telefoon televisie internet,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,89
 verzekeringen,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,401
 onderwijs,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,0
 kinderopvang,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,0
 contributies en abonnementen,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,143
 vervoer,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,477
VASTE LASTEN,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,2.263
 kleding en schoenen,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,150
 inventaris,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,184
 onderhoud huis en tuin,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,209
 niet-vergoede ziektekosten,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,77
 vrijetijdsuitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,565
RESERVERINGSUITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,1.185
 voeding,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,426
 overige huishoudelijke uitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,252
HUISHOUDELIJKE UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,678
OVERSCHOT/TEKORT,Ouder paar,1.5 keer gemiddelde hypotheek,4500,2019,375
TOTAAL INKOMEN,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,5.000
TOTAAL UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,4.391
 huur/hypotheek,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,1.008
 gas,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,87
 elektriciteit,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,57
 water,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,15
 lokale lasten,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,59
 telefoon televisie internet,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,91
 verzekeringen,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,407
 onderwijs,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,0
 kinderopvang,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,0
 contributies en abonnementen,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,152
 vervoer,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,526
VASTE LASTEN,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,2.401
 kleding en schoenen,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,163
 inventaris,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,194
 onderhoud huis en tuin,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,228
 niet-vergoede ziektekosten,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,77
 vrijetijdsuitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,625
RESERVERINGSUITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,1.287
 voeding,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,439
 overige huishoudelijke uitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,263
HUISHOUDELIJKE UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,702
OVERSCHOT/TEKORT,Ouder paar,1.5 keer gemiddelde hypotheek,5000,2019,609
TOTAAL INKOMEN,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,5.500
TOTAAL UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,4.640
 huur/hypotheek,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,1.065
 gas,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,87
 elektriciteit,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,57
 water,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,15
 lokale lasten,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,59
 telefoon televisie internet,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,92
 verzekeringen,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,413
 onderwijs,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,0
 kinderopvang,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,0
 contributies en abonnementen,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,162
 vervoer,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,576
VASTE LASTEN,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,2.525
 kleding en schoenen,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,175
 inventaris,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,204
 onderhoud huis en tuin,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,247
 niet-vergoede ziektekosten,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,77
 vrijetijdsuitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,685
RESERVERINGSUITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,1.388
 voeding,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,453
 overige huishoudelijke uitgaven,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,274
HUISHOUDELIJKE UITGAVEN,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,727
OVERSCHOT/TEKORT,Ouder paar,1.5 keer gemiddelde hypotheek,5500,2019,860
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,1,2019,0
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,1,2019,1.690
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,1,2019,229
 gas,Paar met 1 kind,gemiddelde huur,1,2019,99
 elektriciteit,Paar met 1 kind,gemiddelde huur,1,2019,61
 water,Paar met 1 kind,gemiddelde huur,1,2019,17
 lokale lasten,Paar met 1 kind,gemiddelde huur,1,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,1,2019,66
 verzekeringen,Paar met 1 kind,gemiddelde huur,1,2019,330
 onderwijs,Paar met 1 kind,gemiddelde huur,1,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,1,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,1,2019,3
 vervoer,Paar met 1 kind,gemiddelde huur,1,2019,44
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,1,2019,912
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,1,2019,137
 inventaris,Paar met 1 kind,gemiddelde huur,1,2019,84
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,1,2019,23
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,1,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,1,2019,0
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,1,2019,318
 voeding,Paar met 1 kind,gemiddelde huur,1,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,1,2019,69
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,1,2019,459
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,1,2019,0
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,2,2019,0
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,2,2019,1.885
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,2,2019,229
 gas,Paar met 1 kind,gemiddelde huur,2,2019,99
 elektriciteit,Paar met 1 kind,gemiddelde huur,2,2019,61
 water,Paar met 1 kind,gemiddelde huur,2,2019,17
 lokale lasten,Paar met 1 kind,gemiddelde huur,2,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,2,2019,66
 verzekeringen,Paar met 1 kind,gemiddelde huur,2,2019,330
 onderwijs,Paar met 1 kind,gemiddelde huur,2,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,2,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,2,2019,51
 vervoer,Paar met 1 kind,gemiddelde huur,2,2019,62
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,2,2019,978
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,2,2019,137
 inventaris,Paar met 1 kind,gemiddelde huur,2,2019,84
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,2,2019,23
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,2,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,2,2019,75
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,2,2019,393
 voeding,Paar met 1 kind,gemiddelde huur,2,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,2,2019,124
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,2,2019,514
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,2,2019,0
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,2250,2019,2.250
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,2250,2019,2.250
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,2250,2019,579
 gas,Paar met 1 kind,gemiddelde huur,2250,2019,99
 elektriciteit,Paar met 1 kind,gemiddelde huur,2250,2019,61
 water,Paar met 1 kind,gemiddelde huur,2250,2019,17
 lokale lasten,Paar met 1 kind,gemiddelde huur,2250,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,2250,2019,67
 verzekeringen,Paar met 1 kind,gemiddelde huur,2250,2019,331
 onderwijs,Paar met 1 kind,gemiddelde huur,2250,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,2250,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,2250,2019,52
 vervoer,Paar met 1 kind,gemiddelde huur,2250,2019,67
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,2250,2019,1.336
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,2250,2019,137
 inventaris,Paar met 1 kind,gemiddelde huur,2250,2019,85
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,2250,2019,23
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,2250,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,2250,2019,80
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,2250,2019,399
 voeding,Paar met 1 kind,gemiddelde huur,2250,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,2250,2019,125
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,2250,2019,515
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,2250,2019,0
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,2500,2019,2.500
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,2500,2019,2.500
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,2500,2019,580
 gas,Paar met 1 kind,gemiddelde huur,2500,2019,103
 elektriciteit,Paar met 1 kind,gemiddelde huur,2500,2019,64
 water,Paar met 1 kind,gemiddelde huur,2500,2019,17
 lokale lasten,Paar met 1 kind,gemiddelde huur,2500,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,2500,2019,75
 verzekeringen,Paar met 1 kind,gemiddelde huur,2500,2019,341
 onderwijs,Paar met 1 kind,gemiddelde huur,2500,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,2500,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,2500,2019,68
 vervoer,Paar met 1 kind,gemiddelde huur,2500,2019,158
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,2500,2019,1.470
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,2500,2019,138
 inventaris,Paar met 1 kind,gemiddelde huur,2500,2019,96
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,2500,2019,25
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,2500,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,2500,2019,169
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,2500,2019,503
 voeding,Paar met 1 kind,gemiddelde huur,2500,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,2500,2019,138
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,2500,2019,528
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,2500,2019,0
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,3000,2019,3.000
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,3000,2019,3.000
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,3000,2019,581
 gas,Paar met 1 kind,gemiddelde huur,3000,2019,109
 elektriciteit,Paar met 1 kind,gemiddelde huur,3000,2019,67
 water,Paar met 1 kind,gemiddelde huur,3000,2019,18
 lokale lasten,Paar met 1 kind,gemiddelde huur,3000,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,3000,2019,88
 verzekeringen,Paar met 1 kind,gemiddelde huur,3000,2019,361
 onderwijs,Paar met 1 kind,gemiddelde huur,3000,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,3000,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,3000,2019,100
 vervoer,Paar met 1 kind,gemiddelde huur,3000,2019,332
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,3000,2019,1.719
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,3000,2019,151
 inventaris,Paar met 1 kind,gemiddelde huur,3000,2019,120
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,3000,2019,31
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,3000,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,3000,2019,350
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,3000,2019,725
 voeding,Paar met 1 kind,gemiddelde huur,3000,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,3000,2019,166
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,3000,2019,556
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,3000,2019,0
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,3500,2019,3.500
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,3500,2019,3.278
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,3500,2019,583
 gas,Paar met 1 kind,gemiddelde huur,3500,2019,110
 elektriciteit,Paar met 1 kind,gemiddelde huur,3500,2019,68
 water,Paar met 1 kind,gemiddelde huur,3500,2019,19
 lokale lasten,Paar met 1 kind,gemiddelde huur,3500,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,3500,2019,93
 verzekeringen,Paar met 1 kind,gemiddelde huur,3500,2019,371
 onderwijs,Paar met 1 kind,gemiddelde huur,3500,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,3500,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,3500,2019,117
 vervoer,Paar met 1 kind,gemiddelde huur,3500,2019,422
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,3500,2019,1.845
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,3500,2019,165
 inventaris,Paar met 1 kind,gemiddelde huur,3500,2019,135
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,3500,2019,35
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,3500,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,3500,2019,450
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,3500,2019,860
 voeding,Paar met 1 kind,gemiddelde huur,3500,2019,390
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,3500,2019,183
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,3500,2019,573
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,3500,2019,222
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,4000,2019,4.000
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,4000,2019,3.475
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,4000,2019,607
 gas,Paar met 1 kind,gemiddelde huur,4000,2019,110
 elektriciteit,Paar met 1 kind,gemiddelde huur,4000,2019,68
 water,Paar met 1 kind,gemiddelde huur,4000,2019,19
 lokale lasten,Paar met 1 kind,gemiddelde huur,4000,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,4000,2019,95
 verzekeringen,Paar met 1 kind,gemiddelde huur,4000,2019,378
 onderwijs,Paar met 1 kind,gemiddelde huur,4000,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,4000,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,4000,2019,126
 vervoer,Paar met 1 kind,gemiddelde huur,4000,2019,471
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,4000,2019,1.936
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,4000,2019,178
 inventaris,Paar met 1 kind,gemiddelde huur,4000,2019,145
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,4000,2019,38
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,4000,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,4000,2019,510
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,4000,2019,946
 voeding,Paar met 1 kind,gemiddelde huur,4000,2019,400
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,4000,2019,194
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,4000,2019,594
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,4000,2019,525
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,4500,2019,4.500
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,4500,2019,3.675
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,4500,2019,630
 gas,Paar met 1 kind,gemiddelde huur,4500,2019,110
 elektriciteit,Paar met 1 kind,gemiddelde huur,4500,2019,68
 water,Paar met 1 kind,gemiddelde huur,4500,2019,19
 lokale lasten,Paar met 1 kind,gemiddelde huur,4500,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,4500,2019,96
 verzekeringen,Paar met 1 kind,gemiddelde huur,4500,2019,384
 onderwijs,Paar met 1 kind,gemiddelde huur,4500,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,4500,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,4500,2019,136
 vervoer,Paar met 1 kind,gemiddelde huur,4500,2019,521
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,4500,2019,2.026
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,4500,2019,190
 inventaris,Paar met 1 kind,gemiddelde huur,4500,2019,155
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,4500,2019,41
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,4500,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,4500,2019,570
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,4500,2019,1.031
 voeding,Paar met 1 kind,gemiddelde huur,4500,2019,413
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,4500,2019,205
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,4500,2019,618
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,4500,2019,825
TOTAAL INKOMEN,Paar met 1 kind,gemiddelde huur,5000,2019,5.000
TOTAAL UITGAVEN,Paar met 1 kind,gemiddelde huur,5000,2019,3.900
 huur/hypotheek,Paar met 1 kind,gemiddelde huur,5000,2019,678
 gas,Paar met 1 kind,gemiddelde huur,5000,2019,110
 elektriciteit,Paar met 1 kind,gemiddelde huur,5000,2019,68
 water,Paar met 1 kind,gemiddelde huur,5000,2019,19
 lokale lasten,Paar met 1 kind,gemiddelde huur,5000,2019,59
 telefoon televisie internet,Paar met 1 kind,gemiddelde huur,5000,2019,98
 verzekeringen,Paar met 1 kind,gemiddelde huur,5000,2019,390
 onderwijs,Paar met 1 kind,gemiddelde huur,5000,2019,5
 kinderopvang,Paar met 1 kind,gemiddelde huur,5000,2019,0
 contributies en abonnementen,Paar met 1 kind,gemiddelde huur,5000,2019,145
 vervoer,Paar met 1 kind,gemiddelde huur,5000,2019,570
VASTE LASTEN,Paar met 1 kind,gemiddelde huur,5000,2019,2.140
 kleding en schoenen,Paar met 1 kind,gemiddelde huur,5000,2019,203
 inventaris,Paar met 1 kind,gemiddelde huur,5000,2019,165
 onderhoud huis en tuin,Paar met 1 kind,gemiddelde huur,5000,2019,44
 niet-vergoede ziektekosten,Paar met 1 kind,gemiddelde huur,5000,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,gemiddelde huur,5000,2019,630
RESERVERINGSUITGAVEN,Paar met 1 kind,gemiddelde huur,5000,2019,1.117
 voeding,Paar met 1 kind,gemiddelde huur,5000,2019,427
 overige huishoudelijke uitgaven,Paar met 1 kind,gemiddelde huur,5000,2019,216
HUISHOUDELIJKE UITGAVEN,Paar met 1 kind,gemiddelde huur,5000,2019,643
OVERSCHOT/TEKORT,Paar met 1 kind,gemiddelde huur,5000,2019,1.100
TOTAAL INKOMEN,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,0
TOTAAL UITGAVEN,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,1.804
 huur/hypotheek,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,343
 gas,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,99
 elektriciteit,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,61
 water,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,17
 lokale lasten,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,59
 telefoon televisie internet,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,66
 verzekeringen,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,330
 onderwijs,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,5
 kinderopvang,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,0
 contributies en abonnementen,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,3
 vervoer,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,44
VASTE LASTEN,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,1.026
 kleding en schoenen,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,137
 inventaris,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,84
 onderhoud huis en tuin,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,23
 niet-vergoede ziektekosten,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,74
 vrijetijdsuitgaven,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,0
RESERVERINGSUITGAVEN,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,318
 voeding,Paar met 1 kind,1.5 keer gemiddelde huur,1,2019,390
